English	Hungarian	Spanish	Chinese	Portuguese
Account Holder Name	Számlatulajdonos neve	Nombre del titular de la cuenta	账号持有人姓名	Nome do responsável da conta
Accounting and Finance	Pénzügy	Contabilidad y Finanzas	会计与财务	Contabilidade e financeiro
Active	Aktív	Activo	已激活	Ativo
Add New Fee	Új díj létrehozása	Agregar nueva tarifa	添加费用	Adicionar nova fee
Add new Comment	Új megjegyés létrehozása	Agregar nuevo comentario	添加新备注	Adicionar novo comentário
Add new entry	Új bejegyzés	Agregar nueva entrada	添加新项	Adicionar novo lançamento
Add New Vendor	Új szolgáltató létrehozása	Agregar nuevo proveedor	添加新供应商	Adicionar novo fornecedor
Additional Editor Assignments / Management	Minőségellenőrzési megjegyzések	Asignaciones adicionales del editor/ Administración	额外编辑任务/管理	Relatórios adicionais de editores/Gerenciamento
Administration	Adminisztráció	Administración	管理权限	Administração
Advertisement payment handling	Hirdetési kifizetések kezelése	Manejo de pagos publicitarios	推广费用管理	Manuseio de pagamento de anúncio
Agency	Ügynökség	Agencia	机构	Agência
Alipay Account	Alipay fiók	Cuenta de Alipay	支付宝账号	Contas Alipay
Analysis	Analízis	Análisis	分析	Análises
Announcements	Közlemények	Anuncios	通知	Anúncios
Annual closing, tax return and audit	Éves zárás, adóbevallás és ellenőrzés	Cierre anual, declaración de impuestos y auditoría	年度关账，纳税申报与审计	Fechamento anaual, retorno de imposto e auditoria
Annual Review Feedback	Teljesítményértékelés	Comentarios de la revisión anual	年度评估反馈	Revisão Anual (feedback)
Apollo Manager Id - Data Quality	Apollo Manager Id - Data Quality	Id. De administrador de Apollo: Data Quality	Apollo 权限ID-DQ 	ID do Responsável no Apollo - Controle de Qualidade
Apollo Manager Id - Resource	Apollo Manager Id - Resource	ID de administrador de Apollo: Resource	Apollo 权限ID-RE	ID do Responsável no Apollo - Agendamento
Applying payments in Caspian	Bejövő fizetések könyvelése	Aplicar pagos en Caspian	Caspian 上申请付费	Aplicar pagamentos no Caspian
AR follow up	Kintlévőségkezelés	Seguimiento de IA	AR 追踪跟进	Acompanhamento de AR
Automated report	Automatizált riport	Informe automatizado	自动化问卷	Relatório automático
Bamboo	Bamboo	Bamboo	Bamboo	Bamboo
Bank Account Number	Számlaszám	Número de cuenta bancaria	银行账号	Número da conta bancária
Bank Address	Bank cím	Dirección del banco	银行地址	Endereço do banco
Bank Name	Bank név	Nombre del banco	银行名字	Nome do banco
BI - Assist other department	BI - más osztályok támogatása	BI - Ayudar a otro departamento	BI-跨部门协助	BI - Assistir outro departamento
BI - Assistance other offices	BI - más irodák támogatása	BI - Asistencia otras oficinas	BI-跨办公室协助	BI - Assistência para outros escritórios
BI - Design, Illustrations, Graphic layout, CSS	BI - Design, Illustrations, Graphic layout, CSS	BI - Diseño, Ilustraciones, Maquetación gráfica, CSS	BI- 设计，插图，图形布局，CSS	BI - Design, Ilustrações, Layout Gráficos, CSS
BI - Development solutions files	BI - Development solutions files	BI - Archivos de soluciones de desarrollo	BI-开发解决方案文件	BI - Arquivos de desenvolvimento de soluções
BI - Specific analysis (Tier, Route, Cost, etc.)	BI - Különleges elemzések (Tier, Route, Cost, etc.)	BI - Análisis específicos (Nivel, Ruta, Costo, etc.)	BI-特定分析（轮次，支出成本等)	BI - Análises específicas (Tier, rotas, custo, etc.)
Billing	Számlázás	Facturación	出账	Cobrança
BR support	BR támogatás	Soporte BR	BR协助	Suporte BR
Branch Name / Id	Fióknév / Id	Nombre / Id. De sucursal	支行名字/ID	Nome da Filial / ID
Bravo Roles	Bravo jogok	Funciones de Bravo	Bravo 角色	Cargos Bravo
Bravo User	Bravo felhasználó	Usuario Bravo	Bravo 用户	Usuário Bravo
Budget preparation	Költségvetés készítés	Preparación del presupuesto	预算准备	Preparação de orçamento
Business management	Üzletmenet	Administración de Empresas	企业管理	Gerenciamento de negócios
Calling new Shoppers	Új próbavásárkól hívása	Llamar a nuevos compradores	致电新走访员	Ligação para novos avaliadores
Calls - Shoppers	Hívás - Próbavásárló	Llamadas: compradores	沟通-走访员	Ligações - Avaliadores
Calls / meetings - Client, SM	Hívás / megbeszélés - Ügyfél, SM	Llamadas / reuniones - Cliente, SM	沟通/会议-客户，SM	Ligações / Reuniões - Cliente, SM
Calls / meetings - Internal	Hívás / megbeszélés - belső	Llamadas / reuniones - Internas	沟通/会议-内部	Ligações / Reuniões - Interno
Calls Advertisement Providers	Hirrdetési szolgáltatók hívása	Llamadas de proveedores de publicidad	沟通-广告供应商	Ligações com provedores de anúncios
Calls Emails	Calls Emails	Llamadas de correos electrónicos	电话&邮件	Ligações Emails
Cancel	Visszavon	Cancelar	取消	Cancelar
Cash Forecast	Pénzügyi előrejelzés	Previsión de efectivo	现金预测	Projeção de Caixa
Caspian	Caspian	Caspian	Caspian	Caspian
Caspian (entering, managing leads)	Caspian (Lead kezelés, léteehozás)	Caspian (ingresar, administrar clientes potenciales)	Caspian（进入，管理）	Caspian (entrando, gerenciando leads)
Caspian Office Users	Caspian Felhasználók	Usuarios de la oficina del Caspian	Caspian内部用户	Usuários do escritório no Caspian
Caspian Primary User	Elsődleges Caspian felhasználó	Usuario principal de Caspian	Caspian主用户	Uruário primário no Caspian
Caspian Roles	Caspian jogok	Roles del Caspian	Caspian 角色	Cargo no Caspian
Change Requests	Változási kérelem	Solicitudes de cambio	申诉处理	Pedido de revisão
Choose one…	Válassz…	Elige uno ...	选择其中一个	Escolha um...
CL support	CL támogatás	Soporte CL	协助客户	Suporte CL
Client	Ügyfél	Cliente	客户	Cliente
Client Agreement Creation & Follow-up	Ügyfélszerződés létrehozása és nyomon követése	Creación y seguimiento del acuerdo con el cliente	客户协议创建与跟进	Criação de acordo com cliente e follow-up
Client communication	Ügyfél kommunikáció	Comunicación con el cliente	客户沟通	Comunicação com cliente
Client Excel reporting	Ügyfél Excel Riportálás	Informes de Excel del cliente	客户报告-Excel	Relatório de cliente em Excel
